,index,ID,Description,HA
10,10,AMER0017,explores debate american economics objective main characteristic american economy identify structural institutional factor constraint economic growth human development region examine economic performance region development strategy consequence shift economic economic policy particular institutional root america underdevelopment notion economic dependency consequence market liberalization examines recent economic performance region important macroeconomic impact human development region particular attention dynamic fiscal policy evolution international trade dependence natural resource evolution labor policy region ass impact macroeconomic policy human capital formation poverty reduction finally discus economic future region economics previous background,13
11,11,AMER0018,examines international america primary emphasis period attention legacy earlier economic strategic development affect region presume prior knowledge international relation american economics employ thematic comparative approach case region america inform central analytical debate international relation begin overview key general international relation turn consideration major trend america international relation attention development cold war long trend relation american country united state examine central international america security economic regionalism human right foreign policy key regional state,13
12,12,AMER0023,examines relationship power protest foreign relation closely examine domestic international opposition american foreign policy post world war period preliminary set parameter key approach foreign relation flashpoint anti imperialist movement black internationalism link domestic civil right fair play cuba movement middle east relation opposition vietnam war rise human right movement central america solidarity movement opposition complicity south african regime apartheid finally opposition war terror conclude workshop critique work advance submission,13
13,13,AMER0027,examines race ethnicity process racialised ethnic exclusion america perspective invite role played byrace ethnicity hierarchically american society reproducingpatterns exclusion citizenship number contrast case thewars independence roleof afro descendant indigenous people region independence andportugal persistence slavery brazil cuba shape ostensiblyliberal role slavery emancipation haitian revolution inconfiguring race racial hierarchy region indianquestion place liberal thought nineteenth debate desirable andnon desirable immigration immigration impact racial stock adoptionand adaptation racism eugenics american thinker thecritiques approach race engender rise demise indigenista andmestizaje policy cultural expression mesoamerica andes thedevelopment notion racial democracy post slavery brazil cuba whiteness southern cone role shape racialized policy moregenerally considers ideological construction racial state america nineteenth,13
14,14,AMER0032,explores cultural economic south turn present day major racial gender reform progressive era onwards impact war economic depression industrialisation urbanisation historically rural agricultural region rise sunbelt suburbanisation republican resurgence growth conservatism emergence white supremacism expansion bible belt religiosity impact immigration rapid growth new destination southern city endure cultural trend cowboy southern music plantation fashion confederate flag role myth preserve southern distinctiveness,13
15,15,AMER0037,host submission point word resource useful prepare submission past faq,
16,16,AMER0038,introduces multidisciplinary transnational people society america pre columbian period present day explore major force processesthat shape reshaped region hemisphere time think comparatively transnationally think comparatively examine factor demography economy culture ideology lead common pattern divergence america transnational perspective look profound continuous impact exchange interaction region state people america,13
17,17,AMER0039,introductory level introduces key theoretical debate america robust disciplinary discipline shape understanding development america region turn affect theoretical debate key element discipline institution policy process explores state state citizen relationship adopts perspective discipline emphasizes importance process globalize word substantive detailed case drawn america comparative difference similarity process america north america caribbean,13
18,18,AMER0042,introduces main debate gender public policy america particularly wave democratisation specifically explores gender scholar contribute challenged conceptual theoretical methodological framework mainstream divide emphasizes gender discus role gender relation representation public policy america combine activity opportunity reflect challenge promote adopt policy address gender inequality,13
19,19,AMER0043,key attribute modern state regulate control society federal government united state possess relatively power domestic affair state exercise police power begin new nation control law surround marriage sexual growth federal power establishment modern welfare national security apparatus central state increase regulatory oversight people margot canaday landmark book straight state point departure explores american state sought control sexual norm identity time medical expert politician bureaucrat increasingly concerned sexuality sexual dissidence examines american resist contest state regulation control sexuality site resistance state power played role reshape activist strategy legal norm sexuality explore twin theme regulation resistance sexual case policy immigration marriage relationship law medical discourse sexuality,13
20,20,AMER0045,metaphor state exception explores state developed capacity exclude people simultaneously exercise sovereignty state exception case immigrant exception african american exception native american exception insular exception puerto rico guam cuba case state exercise power non citizen geographical legal exception avoid rule law examine state developed capacity maintain separate exceptional condition definitional capacity coercive capacity control remote control capacity deportation regime guest worker conclude consideration legitimacy mode state building,13
21,21,AMER0046,explores united state present day examine protest role shape relationship state people encourage think critically grassroots movement shape developed elite force opt seemingly popular end force united state complex relationship movement effort liberate right marginalise people reveal deep racial fissure american society struggle connect explore protest movement spectrum encompass element society divide dissident explore insurgent american organise accord racial gendered identity left protest engage mainstream party past eighty examine key fault line driven numerous protest movement foreign policy place united state global superpower reaction protest explore right united state mobilize american similar line opponent identity race gender generate protest movement feed demand platform opponent think extent protest brought real change past eighty far root current moment locate protest past,13
22,22,AMER0048,overview key institution process survey development institution time emphasis constitutional broader look examine primary federal institution congress executive court interact state local government role non governmental entity party influence policymaking role race process assumes work knowledge principle comparative government,13
23,23,AMER0050,offer critical united state end world war present day thematic section state development gender sexuality world race ethnicity historiographical occupy scholar interrogate change continuity ideology progress develop keen interconnect nature overarch theme american life ass particular event thematic broader end solid factual united state critical process shape country past construct nuanced past present,13
24,24,AMER0051,offer critical united state end world war present day thematic section state development gender sexuality world race ethnicity historiographical occupy scholar interrogate change continuity ideology progress develop keen interconnect nature overarch theme american life ass particular event thematic broader end solid factual united state critical process shape country past construct nuanced past present,13
25,25,AMER0052,comparative multidisciplinary perspective intermediate level gendered perspective discus important economic society america divide discus gendered nature state democracy section turn assess quality democracy gendered perspective descriptive representation election voter behavior finally section turn examine gendered dimension inequality violence sexual right illustrate comparable distinctive feature society north central south america test demonstrate appropriate knowledge america case knowledge build explanation grade short profile politician america challenged traditional gendered norm present relevant case discus day place begin mean prompt discussion finally demonstrate appropriate knowledge,13
26,26,AMER0053,intermediate level introduces basic principle purpose good develops critical awareness type methodology basic ass empirical evidence,
27,27,AMER0057,taught present methodology introduces disciplinary interdisciplinary approach north america america caribbean explores humanity america reflect common challenge encounter collection acquaint critique diverse kind workshop develop skill collection,13
28,28,AMER0059,act capstone encourages draw knowledge developed previous think multidisciplinary transnational america key theme engage hemisphere inequality migration security environment reflect multidisciplinary perspective illuminate knowledge communicate non audience journalism policy visualization podcast video blogging,13
29,29,AMER0061,sustain piece individual word length fall america define broad parameter link level special supervise convener contact comprise briefing convenor start requirement remind skill earlier plus workshop special individual meeting,13
30,30,AMER0062,comprehensive human right america introduces development conception right central scholarly policy debate region human right examines approach promotion protection human right america employ thematic comparative approach case examine principal analytical debate scholarly human right inter disciplinary develops comparative region america invite actively develop cause human right violation effectiveness policy intervention strategy advance protection promotion human right,13
31,31,AMER0063,evaluates inequality deeply embed america root inequality economic mechanism persistent grow difficult reduce redistributive policy identifies institutional factor prepare inequality multidisciplinary perspective link set workshop,13
32,32,AMER0073,african american civil right movement significant movement far confine couple tumultuous decade middle movement root longer black freedom struggle influence global event considerable impact movement freedom equality united state abroad single civil right movement number movement coalition activist leader organisation innumerable individual experience place african american civil right longer broader cultural economic change brought long death jim crow trace civil right movement early challenge jim crow supreme court black grassroots activism violent white resistance remarkable legislative achievement mid accomplish initial goal movement turn evolution struggle civil right black power urban violence increase rioting half interracialism non violence increasingly challenged civil right movement confines american south examine challenge racism segregation north west assess borrow activism widely conclude critical legacy representation civil right era engage historiographical debate periodisation success movement explore know individual event dominate coverage movement lesser know struggle grassroots activist civil right intersect foreign policy global event movement racial ethnic gender sexual equality ass relationship activist leader white house evaluate link struggle equality,13
33,33,AMER0074,america confounds observer familiar alien allure unsettle dionysian dystopian land tomorrow view forgotten continent great british marxist historian eric hobsbawm america change place process familiar emergence labour movement rise fascism triumph decline revolution appear tweaked factor uncovered explain survey america examine process common region experience country america relation rest world like hobsbawm america help think wider world,13
34,34,AMER0078,america confounds observer familiar alien allure unsettle dionysian dystopian land tomorrow view forgotten continent great british marxist historian eric hobsbawm america change place process familiar emergence labour movement rise fascism triumph decline revolution appear tweaked factor uncovered explain survey america examine process common region experience country america relation rest world like hobsbawm america help think wider world,13
35,35,AMER0081,overview haitian revolution slave revolt world considers alternative explanation remarkable centre variously slave leadership pre existent tradition resistance revolutionary power disease examines complex impact haitian revolution united state caribbean america hand help inspire slave revolt united state cuba inspiration european abolitionism played role american independence struggle hand slavery profitable cuba dim anti slavery sensibility framer united state result napoleon sell vast louisiana territory pave expansion continent expansion slavery,13
36,36,AMER0082,investigates genesis modern presidency power contrast markedly weak institution framer american republic hostile monarchy intend create begin inquire hostility create presidency sought restrain influence constitution operate framer intend power washington invest congress presidency change bulk concerned presidency expand dramatically consequence growth primarily domestic presidency foreign policy concludes characterise presidency relation patten concerned previous,13
37,37,AMER0083,allow explore revolution america major revolution mexico bolivia cuba fail reverse revolution revolutionary insurgency period cuban revolution broadly chronological examine series theme link revolutionary process gender race violence charismatic leadership state nation building counterinsurgency america draw comparison revolutionary experience region frame american revolution broader historiography international left united state american relation global cold war,13
38,38,AMER0084,insight relationship power protest foreign relation closely examine domestic international opposition american foreign policy post world war period cold war civil right response cuban revolution anti vietnam war movement anti apartheid movement arab american community activism response war terror opportunity reflect primary material radical manifesto diary song poem memoir material encourage engage dynamic grow body historiography power protest foreign reltions opportunity intervention word,13
39,39,AMER0085,explores american sexuality america invite role played sexuality modern american society diasporic culture approach sexuality conflictive articulation broader cultural process ninetieth address main theoretical empirical methodological debate encourage think critically key american latinx sexuality address diverse queer perspective archive sexual dimension nation building sex work racialization lgtbiq sexual liberation democratization trans embodiment,13
40,40,AMER0086,neoliberalism mean live neoliberalsociety process multiple society america experienced appropriate resist embrace neoliberal look neo liberalism process economic strategy shock doctrine historicizes neoliberalism structural change economy discourse violent subjectivity dominant common sense organize society look differentcases historicizes neoliberalism,13
41,41,AMER0087,late thcentury seize create sprawl overseas empire empire significant police administration negotiation non state actor key figure expansionand managementof imperial economic control abroad shape direct foreign policy non state actor challenged protest violent projection power condemn challenge human ecological cultural destruction colony era national security state diplomatic corp amateur exercise real power guide contest direction foreign relation examine non state actor sugar planter cowboy missionary boy scout geologist artist entertainer american place hawaii philippine argentina haiti south africa antarctica france,13
42,42,AMER0088,underpinningand inspire black activism distil individual exceptional black male intellectual fanon garvey james challenge assumption exceptionalism masculinity caribbean intellectual situate renowned thinker black intellectual introduces studentsto writing caribbean thinker past highlightingblack anti enslavement writing anti imperialist nation builder black feminist introducesstudents caribbean thinker thematically chronologically enable engagementwith ofthe genealogy influence radical caribbean thought,13
43,43,ANAT0001,anat introductory human anatomy developmental embryology topographical anatomy development nervous cardiovascular respiratory digestive musculoskeletal urogenital head face limb basic principle embryonic development formation major organ prepare advanced anatomy developmental wish pursue anat human anatomy embryology biol development taught series specialise end expect indicative list principal major human organ discus anatomical basis circulation nervous discus anatomical basis action breathing digestion rudiment embryonic development formation major organ developmental biologyfertilization cleavage divisionscells tissuesformation body plananatomy nervous systemdevelopment nervous systemneural crestanatomy development digestive systemanatomy respiratory systemdevelopment mesodermanatomy development cardiovascular systemhox body patterninganatomy evolution limbsdevelopment limbsanatomy development headurogenital,13
44,44,ANAT0002,general background cellular principle control development nervous embryonic pattern neuronal differentiation axon guidance synapse formation assembly complex neuronal circuit divide section section early stage development nervous repair section development neuronal circuit development touch pain spinal reflex olfactory vision speech developmental neurobiology development nervous early embryonic event development perception complex neonate emphasis experimental fact encourage evaluate critically experiment indicative list principle neural induction pattern segmentation neural tube closure neuroepithelium neural tube defect neurogenesis gliogenesis approach development nervous early development spinal cord pns mechanism migration embryo adult circadian rhythm neuronal development death neurotrophic factor axon guidance synapse formation refinement neuronal circuit prune elimination homeostasis repair regeneration development development touch pain sensitivity development spinal cord reflex movement development map environment human neural development vocalisation speech divide attendance worth mark collect end mark organizer professor patricia salina salina masa tada tada topology early neural development embryonic neuroepithelium sculpt future division nervous outline shift pattern expression intercellular signal demarcate future cast light evolutionary population nervous produce outline principle signal regulation underlie diversity neural circuit migration guide axonal outgrowth synapse formation neuronal circuit refinement outline underlie mechanism discus neurotrophic excess number neuron eliminate mechanism development main sensory motor pathway pattern neural connectivity refine later development underlie emergence perception complex post natally summarise current state developmental prepared advanced particular development organisation pathology nervous,13
45,45,ANAT0003,anatomy central nervous familiarize connection human central nervous relate medical condition comprises bias medically relevant material broadly similar neuroanatomy section medical overview spinal cord brainstem cerebral hemisphere blood supply cns circulation cerebrospinal series major somatosensory motor pathway thalamus cerebellum basal ganglion cerebral cortex limbic control autonomic endocrine special sense pathway movement control basis neurodegenerative disease regeneration nervous sufficient neuroanatomical background work involves examine external feature internal anatomy end expect discus major spinal cord blood supply cns consequence failure blood supply somatosensory motor pathway movement control special sense pathway control autonomic endocrine limbic anatomical basis neurodegenerative disease response nervous injury anatomy expect identify state important human section spinal cord indicative list nervous neuroanatomy spinal cord descend tract ascend tract cerebral cortex basal ganglion somatosensation somatosensory cranial nerve motor motor cranial nervesbasal gangliacerebellum thalamus limbic cortex hypothalamus autonomic nervous auditory systemimaging motor control limbic gustatory olfactory neurodegenerative disease neuroanatomy injury repair anatomy neuroanatomy sleep state consciousness neurodegenerative disease,13
46,46,ANAT0005,human anatomy histology embryology development cardiovascular respiratory digestive urinogenital clinical comparative aspect appropriate draw relationship comprises mainly hop offer anatomy detailed overview embryonic development human body develop clinical relate human anatomy development thorax abdomen pelvis strong anatomical explore relate developmental evolutionary morphology relation region open interested appropriate ibsc medical mmb help anat anatomy development essential willing extra work affiliate life background contact tutor advance interested contact tutor allow anat anat indicative anatomy nervous systemanatomy thorax thoracic wall diaphragm lung breathing heart heart developmentanatomy abdomen abdominal wall inguinal region anatomy histology gut tube posterior abdominal wall kidneysanatomy pelvis bony pelvis pelvic diaphragm anatomy development male pelvic viscera perineum anatomy development female pelvic viscera perineum,13
47,47,ANAT0006,human anatomy histology embryology development head neck vertebral column limb clinical comparative aspect appropriate draw relationship comprises mainly hop lab offer anatomy detailed overview embryonic development human body develop clinical relate human anatomy development head limb strong anatomical explore developmental evolutionary morphology relation head limb open interested appropriate ibsc medical mmb help anat anatomy development essential willing extra work reading affiliate life background contact organizer advance interested contact organizer allow anat anat indicative normal abnormal development headcranial nerve vasculatureanatomy skull intracranial contentsanatomy development mouth tongueanatomy eye orbitanatomy earanatomy nose larynx pharynxanatomy development vertebral columnanatomy upper low limb,13
48,48,ANAT0008,remarkable increase basic mechanism underlie human neurodegenerative disease identification mutation encode present neuro pathological inclusion suggest common feature disease intracellular accumulation fibrous aggregate neuron result neuronal death discus hypothesis light current neurodegenerative disease cellular alzheimer huntington parkinson motor neuron disease prion disease main emphasis mechanism lead death enable ass critically insight future direction innovative therapy option ibsc anatomy developmental elective affiliate indicative combination video huntington diseaseparkinson diseasebasal ganglion neuroanatomymotor neuron lobe dementia motor neurone diseasealzheimer disease beta amyloidtau ftld adcryo filament structurecte chronic traumatic encephalopathy prionsthe prion like aggregate,13
49,49,ANAT0010,offer opportunity continue human anatomy consolidate deepen anatomical knowledge approach morphology individual dissection review relevant related clinical comparative teach comprises introductory meeting formal dissection individual dissection production portfolio dissection select consultation tutor dissection complement portfolio dissection plan list dissection objective dissection poster relate anatomy dissect region clinical developmental comparative anatomical previously dissect majority guidance experience dissection skill plan organize independently dissection minute open number capped small organizer wendy birch birch professor susan evans evans anat anat grade high attempt ibsc anatomy developmental pass relevant attempt mark high integrate anatomy stream mres bioscience,13
50,50,ANAT0012,review advance mental disease neurobiological perspective drawn mainly animal human mental health condition post traumatic stress disorder ptsd obsessive compulsive disorder ocd eat disorder schizophrenia depres sion affect people worldwide depression lead contributor global burden disease accord world health organization unprecedented informa tion process result relieve dysfunctional work probe flexibility storage emotion dissociate selective neural pathway crucial highly specialized aspect emotional landscape switch experimentally holmes review advance mental disease neurobiological perspective drawn mainly animal human series mental disease risk epigenetic influence trauma early life experience neurobiology depression recent fear anxiety addiction impulsivity schizophrenia developmental perspective sleep insomnia explore root dementia particularly associate short autism cocaine addiction derive epigenetics optogenetics review neurobiological ultimate mechanistic mental disease end sound conceptual basis human neuropsychiatric disorder derive current option ibsc anatomy developmental elective affiliate background indicative list epigenetics nature nurture mental disease neurobiology schizophrenia new therapeutic approach psychiatry deep stimulation cocaine addiction fear anxiety depression cortical development developmental disorder,13
51,51,ANAT0013,pain inevitable sensory response tissue damage little room emotional dimension ubiquitous experience whatsoever effect difference past experience anxiety expectation recent great advance mechanism underlie pain treatment people complain pain rapid progress large multidisciplinary approach simultaneously neurobiology behavioural aspect modern pain state pre clinical clinical point view present integrate approach pain series basic mechanism chronic pain clinical manifestation current therapy management pain related broad organisation nervous especially sensory option ibsc anatomy developmental elective affiliate neuroanatomy essential indicative contact sandrine ranton sandrine geranton professor stephen hunt hunt primary afferent growth factor primary afferent trp sodium channel disease dorsal horn pain pathway central sensitization descend control cortical pathway developmental aspect pain pain early life neuropathic pain central representation pain pharmacology chronic pain state spinal cord circuit touch itch pain,13
52,52,ANAT0014,comprises set interdisciplinary enquire engage experience subjective mental state beauty desire love consists discussion professor zeki invite speaker examination answer approximately seven begin enquire organize acquire knowledge world secure knowledge acquires concentrate primarily explore acquires knowledge world knowledge colour motion face mechanism engage experience beauty desire love divide equally discussion recent finding neurobiological mechanism engage affective state literary humanistic philosophical source guide experiment specifically address beauty discuss philosophy aesthetic plato aristotle kant schopenhauer burke clive bell approach experimental address beauty similar similarly delve love derive world plato symposium nizami layla majnun dante divine comedy thomas mann death venice richard wagner tristan und isolde iconic work balance consideration neurobiological engage experience romantic love result pair bonding vole colour motion emphasis art raise unfinished sculpture michelangelo unfinished painting zanne fauvist art kinetic art cubist art art end discussion neurobiological basis creativity end acquire address complex human highly interdisciplinary neurobiology humanity indicative activity space time functional magnetic resonance magneto encephalography electro encephalography tractography neuroesthetics scope overview subdivision cerebral cortex acquisition knowledge specialization abstraction knowledge acquire activity space time functional magnetic resonance magneto encephalography electro encephalography tractography myeloarchitecture cytoarchitecture connection record activity space time functional magnetic resonance magneto encephalography electro encephalography acquisition knowledge acquire knowledge change world generates reflection western eastern philosophy functional specialization acquire knowledge binding stabiliizing world colour stabilize colour constant colour category relationship colour category shade colour hue fauvist approach painting liberate colour aesthetic phenomenology neuroesthetics neurobiology kinetic art neurobiology face body perception art portrait nude painting approach polykelitos leonardo michelangelo francis bacon cubist neurobiology beauty neurobiology experience sublime beautiful bayesian update belief related inherit acquire colour vision beauty physiology abstract art cubism suprematism abstract expressionism neurobiology desire love love derive world love beauty knowledge universe acquire logical deductive,13
53,53,ANAT0015,conduct original involve experimental work biomedical work anatomy developmental evolution supervise staff developmental cdb external permit approve organizer moodle site list potential contact cdb staff directly bioscience developmental discus opportunity offer alternative agree individual particular previously pass satisfactory level specify current undertaken complement support time result taught time spend equivalent time approximately equivalent day lab exact timetabling type flexible decide contact organizer professor timothy arnett arnett eric lambie lambie experience participate implementation experiment related biomedical experimental relevant interpretation experimental obtain clear knowledgeable word account background area methodology result obtain discussion conclusion drawn result current knowledge,13
54,54,ANAT0016,series world neuroscientist cut edge neuronal degeneration pathology damage cluster cns injury stroke dementia neurodegenerative disease emerge repair therapy main weekly discuss indicative titlesweek cns injury strokeweek neurodegenerative diseasesweek dementiaweek emerge therapiescns response traumatic injury perspectivethe role glutamate spinal cord injuryhuntington disease bench bedsidehuntington disease mechanism disease translate therapeutic neurodegenerative diseaseunderstanding neurological multiple sclerosismotor neurone diseasealzheimer disease mouse deficient wnt signal trigger synapse degeneration possible implication early stage alzheimer diseaseuse animal cns disordersthe enigma cns repairdamage repair regeneration inner ear,13
55,55,ANAT0017,scientist article publish journal primary source prior knowledge efficiently critically evaluate evidence small teach discus lead turn present develop critical think skill improve develop explain complex clearly precisely,13
56,56,ANAT0018,series neuroscientist fundamental biophysical property neurones ion channel neurotransmitter receptor contribute neuronal processing health disease introductory passive property electrical equivalent circuit neurone length constant time constant nernst potential indicative titlesweek voltage gate ion channelsweek neuronal inhibitionweek synaptic integration ion channelsvoltage gate channel role diseasevoltage gate channel anti epileptic gate channel diseasepresynaptic mechanismsnicotinic receptorsanalysis gate kinetics ligand gate ion channel applicationsligand gate ion channel synaptic neuronal inhibitiongabaa receptor central transmissiongabaa receptor traffickinggababr dynamicsintroduction synaptic integration synaptic encode integrative property neurones channelsmemories,13
57,57,ANAT0019,discus processing central nervous main weekly discuss familiar cut edge multiple animal rodent zebrafish monkey human electrophysiology photon microscopy optogenetics meg fmri discuss indicative titlesweek state sleep fear addiction arousal rewardweek spatial navigationweek motor systemhow neocortex retrieves detect noveltyworking controlzebrafish sleepcortical statesplanning limitationsthe prefrontal cortex makingcerebellar plasticity motor learningneuronal reinforcement learningneural encode spacehuman spatial grid patternsthe post natal development neural map spacesupraspinal control locomotionaction planningwhen motor cortex active human mirror neuron,13
58,58,ANAT0020,discus auditory sensory conduction sensory periphery neural cord sensory cortex multiple animal rodent ferret human electrophysiology photon microscopy optogenetics meg fmri discuss familiar cut edge circuit indicative listweek vision receptor subcortical developmentalweek vision cortex perceptionweek mechanotransduction spatial hearingweek audition cortex primate area high acuitylearning integrate sensesvisual optic rod cone retinal processingparallel pathway visioncortical circuit visionsensation actioncanonical computation cortexseeing clutter crowd peripheral visionhearing antenna acoustic communication fruit fly disease transmit mosquitoeshearing cochlea hard job soft partssound localisation subcortical auditory processinglearning hear sound spaceaudiovisual integration auditory cortexputting sound contextstudying temporal pattern megspeech processing auditory,13
